rank,token,count,relative_frequency
501,decidido,212,0.00025572424241693183
502,pies,212,0.00025572424241693183
503,pidió,211,0.0002545179959904369
504,ciencia,211,0.0002545179959904369
505,pozo,211,0.0002545179959904369
506,suerte,210,0.00025331174956394194
507,luego,210,0.00025331174956394194
508,año,210,0.00025331174956394194
509,reloj,210,0.00025331174956394194
510,enorme,210,0.00025331174956394194
511,allá,210,0.00025331174956394194
512,silla,210,0.00025331174956394194
513,quedar,209,0.00025210550313744693
514,punta,209,0.00025210550313744693
515,boca,209,0.00025210550313744693
516,educación,209,0.00025210550313744693
517,café,209,0.00025210550313744693
518,diferentes,209,0.00025210550313744693
519,corrió,209,0.00025210550313744693
520,tratando,208,0.000250899256710952
521,entero,208,0.000250899256710952
522,darse,208,0.000250899256710952
523,debajo,208,0.000250899256710952
524,fácil,208,0.000250899256710952
525,apoyó,208,0.000250899256710952
526,morir,208,0.000250899256710952
527,detuvo,207,0.00024969301028445704
528,cuestión,206,0.0002484867638579621
529,dónde,206,0.0002484867638579621
530,cámara,206,0.0002484867638579621
531,pusieron,206,0.0002484867638579621
532,playa,206,0.0002484867638579621
533,conocía,205,0.0002472805174314671
534,recordar,205,0.0002472805174314671
535,misterio,204,0.00024607427100497214
536,aparece,204,0.00024607427100497214
537,directamente,204,0.00024607427100497214
538,aparecen,204,0.00024607427100497214
539,éxito,203,0.0002448680245784772
540,imposible,203,0.0002448680245784772
541,sos,203,0.0002448680245784772
542,anterior,202,0.00024366177815198222
543,rostro,202,0.00024366177815198222
544,plata,202,0.00024366177815198222
545,decirle,201,0.00024245553172548727
546,película,200,0.0002412492852989923
547,posibilidad,200,0.0002412492852989923
548,difícil,200,0.0002412492852989923
549,paisaje,199,0.00024004303887249735
550,esas,199,0.00024004303887249735
551,llevó,198,0.00023883679244600237
552,caballo,198,0.00023883679244600237
553,muchos,197,0.00023763054601950743
554,horas,197,0.00023763054601950743
555,puedo,197,0.00023763054601950743
556,fuego,197,0.00023763054601950743
557,hijos,197,0.00023763054601950743
558,foto,197,0.00023763054601950743
559,llorar,196,0.00023642429959301245
560,máscara,196,0.00023642429959301245
561,pareció,195,0.0002352180531665175
562,preparado,195,0.0002352180531665175
563,afuera,195,0.0002352180531665175
564,auto,195,0.0002352180531665175
565,pasé,194,0.00023401180674002253
566,estas,193,0.00023280556031352758
567,enferma,193,0.00023280556031352758
568,dejar,192,0.0002315993138870326
569,almorzar,192,0.0002315993138870326
570,oscura,192,0.0002315993138870326
571,roja,192,0.0002315993138870326
572,estos,191,0.00023039306746053766
573,jugar,191,0.00023039306746053766
574,ocho,189,0.00022798057460754774
575,fracaso,187,0.00022556808175455781
576,querían,186,0.00022436183532806284
577,disfraz,186,0.00022436183532806284
578,corte,185,0.0002231555889015679
579,onda,185,0.0002231555889015679
580,diez,185,0.0002231555889015679
581,media,183,0.00022074309604857797
582,normal,182,0.000219536849622083
583,nueve,182,0.000219536849622083
