cuento,archivo,n_original,n_conservados,n_eliminados,porcentaje_eliminado,min_words_original,max_words_original,mean_words_original,min_words_filtrado,max_words_filtrado,mean_words_filtrado
Wakefield,sub-006.json,76,57,19,25.0,1,41,10.6053,4,41,13.5965
Wakefield,sub-010.json,58,53,5,8.6207,2,41,13.3276,4,41,14.3208
Wakefield,sub-012.json,72,55,17,23.6111,1,41,11.1528,4,41,14
Wakefield,sub-013.json,73,61,12,16.4384,1,41,11.3836,4,41,13.3115
Wakefield,sub-016.json,76,58,18,23.6842,1,41,11.3816,5,41,14.5172
Wakefield,sub-018.json,69,57,12,17.3913,1,41,11.5072,4,41,13.4912
Wakefield,sub-021.json,66,60,6,9.0909,1,41,12.9697,4,41,14.0667
Wakefield,sub-024.json,75,61,14,18.6667,1,41,11.2267,4,41,13.5082
Wakefield,sub-027.json,91,63,28,30.7692,1,41,10.044,4,41,13.7302
Wakefield,sub-028.json,109,64,45,41.2844,1,40,7.2569,4,40,11.3281
Wakefield,sub-034.json,72,59,13,18.0556,1,34,11.5417,4,34,13.7627
Wakefield,sub-036.json,98,71,27,27.551,1,41,9.3265,4,41,12.3944
Wakefield,sub-039.json,66,56,10,15.1515,1,41,12.3485,4,41,14.1964
Wakefield,sub-041.json,62,57,5,8.0645,1,41,13.0645,4,41,14.0526
Wakefield,sub-042.json,68,57,11,16.1765,1,41,12.1618,4,41,14.1404
Wakefield,sub-044.json,63,56,7,11.1111,1,41,12.9365,4,41,14.3214
Wakefield,sub-048.json,72,61,11,15.2778,1,41,11.9028,4,41,13.6721
Wakefield,sub-052.json,112,66,46,41.0714,1,41,8.8214,4,41,13.9091
Wakefield,sub-053.json,64,55,9,14.0625,1,41,12.7656,4,41,14.6
Wakefield,sub-054.json,91,73,18,19.7802,1,41,10.5934,4,41,12.863
Wakefield,sub-058.json,80,66,14,17.5,1,41,11.15,4,41,13.1515
Wakefield,sub-060.json,85,61,24,28.2353,1,41,9.9765,4,41,13.2787
Wakefield,sub-064.json,82,66,16,19.5122,1,41,10.6463,4,41,12.8788
Wakefield,sub-065.json,67,55,12,17.9104,1,41,11.8955,4,41,14.2
Wakefield,sub-066.json,58,55,3,5.1724,1,41,13.6207,4,41,14.2364
Wakefield,sub-068.json,70,58,12,17.1429,1,41,11.5143,4,41,13.6034
Wakefield,sub-070.json,102,67,35,34.3137,1,41,9.0588,4,41,13.0746
