rank,token,count,relative_frequency
677,desproporcionadamente,192,0.00025523701149364166
678,digo,191,0.000253907652058779
679,cambiaban,191,0.000253907652058779
680,saqué,191,0.000253907652058779
681,gravedad,191,0.000253907652058779
682,llorar,191,0.000253907652058779
683,alucinaciones,191,0.000253907652058779
684,privilegios,191,0.000253907652058779
685,mayoría,190,0.00025257829262391625
686,afortunadamente,190,0.00025257829262391625
687,pecho,190,0.00025257829262391625
688,arena,190,0.00025257829262391625
689,concentrado,190,0.00025257829262391625
690,literatura,189,0.0002512489331890535
691,medida,189,0.0002512489331890535
692,comunicación,189,0.0002512489331890535
693,murió,189,0.0002512489331890535
694,auto,189,0.0002512489331890535
695,menores,189,0.0002512489331890535
696,pidieron,189,0.0002512489331890535
697,enciclopedia,189,0.0002512489331890535
698,hacían,188,0.0002499195737541908
699,morir,188,0.0002499195737541908
700,abuelo,187,0.0002485902143193281
701,acercó,187,0.0002485902143193281
702,hojas,187,0.0002485902143193281
703,funda,186,0.00024726085488446537
704,vivía,186,0.00024726085488446537
705,temprano,186,0.00024726085488446537
706,sos,186,0.00024726085488446537
707,llovía,186,0.00024726085488446537
708,sonaba,186,0.00024726085488446537
709,largo,185,0.00024593149544960264
710,proporcional,185,0.00024593149544960264
711,maravilloso,185,0.00024593149544960264
712,gritos,185,0.00024593149544960264
713,parapsicólogos,185,0.00024593149544960264
714,hijos,185,0.00024593149544960264
715,sirviente,185,0.00024593149544960264
716,somos,184,0.00024460213601473996
717,explicar,184,0.00024460213601473996
718,escenario,184,0.00024460213601473996
719,ambulancia,184,0.00024460213601473996
720,extranjero,184,0.00024460213601473996
721,clandestino,184,0.00024460213601473996
722,hubiera,183,0.00024327277657987722
723,guerra,183,0.00024327277657987722
724,nuevo,183,0.00024327277657987722
725,científica,183,0.00024327277657987722
726,menor,183,0.00024327277657987722
727,invitó,183,0.00024327277657987722
728,sentimiento,182,0.0002419434171450145
729,calor,182,0.0002419434171450145
730,despierta,182,0.0002419434171450145
731,rato,182,0.0002419434171450145
732,nacho,182,0.0002419434171450145
733,notaron,181,0.00024061405771015179
734,mortaja,181,0.00024061405771015179
735,probar,180,0.00023928469827528908
736,cincuenta,180,0.00023928469827528908
737,eventualmente,180,0.00023928469827528908
738,fascinantes,180,0.00023928469827528908
739,suele,180,0.00023928469827528908
740,onda,180,0.00023928469827528908
741,convencido,179,0.00023795533884042635
742,nulidad,179,0.00023795533884042635
743,tanta,179,0.00023795533884042635
744,fuego,179,0.00023795533884042635
745,mantuvieron,179,0.00023795533884042635
746,compasión,179,0.00023795533884042635
747,normal,178,0.00023662597940556364
748,año,178,0.00023662597940556364
749,cambia,178,0.00023662597940556364
750,intenté,178,0.00023662597940556364
751,tapaba,178,0.00023662597940556364
752,realmente,177,0.0002352966199707009
753,colegio,177,0.0002352966199707009
754,cosidos,177,0.0002352966199707009
755,preocupado,177,0.0002352966199707009
756,arriba,176,0.0002339672605358382
757,tocar,176,0.0002339672605358382
758,son,176,0.0002339672605358382
759,intentaba,176,0.0002339672605358382
760,caminó,175,0.0002326379011009755
761,habría,175,0.0002326379011009755
762,elección,175,0.0002326379011009755
763,están,175,0.0002326379011009755
764,creede,175,0.0002326379011009755
765,gesto,175,0.0002326379011009755
766,nervios,175,0.0002326379011009755
767,haya,174,0.00023130854166611276
768,protegido,174,0.00023130854166611276
769,perspectivas,174,0.00023130854166611276
770,sacudiendo,174,0.00023130854166611276
771,atontado,174,0.00023130854166611276
772,diez,174,0.00023130854166611276
773,matrimonio,174,0.00023130854166611276
774,desesperados,173,0.00022997918223125006
775,pocas,173,0.00022997918223125006
776,atravesado,173,0.00022997918223125006
777,posible,172,0.00022864982279638732
778,estuvieron,172,0.00022864982279638732
